/usr/bin/run_with_env.sh: line 7: /opt/genieacs/genieacs.env: No such file or directory
2020-04-20T06:23:52.516Z [INFO] genieacs-ui starting; pid=23 version="1.2.0-beta.0+20200420061849"
2020-04-20T06:23:57.038Z [ERROR] Uncaught exception; pid=101 exceptionName="MongoNetworkError" exceptionMessage="failed to connect to server [mongo:27017] on first connect [MongoNetworkError: connect ECONNREFUSED 172.19.0.2:27017]" exceptionStack="MongoNetworkError: failed to connect to server [mongo:27017] on first connect [MongoNetworkError: connect ECONNREFUSED 172.19.0.2:27017]\n    at Pool.<anonymous> (/opt/genieacs/node_modules/mongodb-core/lib/topologies/server.js:431:11)\n    at Pool.emit (events.js:198:13)\n    at connect (/opt/genieacs/node_modules/mongodb-core/lib/connection/pool.js:557:14)\n    at makeConnection (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:39:11)\n    at callback (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:261:5)\n    at Socket.err (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:286:7)\n    at Object.onceWrapper (events.js:286:20)\n    at Socket.emit (events.js:198:13)\n    at emitErrorNT (internal/streams/destroy.js:91:8)\n    at emitErrorAndCloseNT (internal/streams/destroy.js:59:3)"
2020-04-20T06:23:57.047Z [ERROR] Uncaught exception; pid=100 exceptionName="MongoNetworkError" exceptionMessage="failed to connect to server [mongo:27017] on first connect [MongoNetworkError: connect ECONNREFUSED 172.19.0.2:27017]" exceptionStack="MongoNetworkError: failed to connect to server [mongo:27017] on first connect [MongoNetworkError: connect ECONNREFUSED 172.19.0.2:27017]\n    at Pool.<anonymous> (/opt/genieacs/node_modules/mongodb-core/lib/topologies/server.js:431:11)\n    at Pool.emit (events.js:198:13)\n    at connect (/opt/genieacs/node_modules/mongodb-core/lib/connection/pool.js:557:14)\n    at makeConnection (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:39:11)\n    at callback (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:261:5)\n    at Socket.err (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:286:7)\n    at Object.onceWrapper (events.js:286:20)\n    at Socket.emit (events.js:198:13)\n    at emitErrorNT (internal/streams/destroy.js:91:8)\n    at emitErrorAndCloseNT (internal/streams/destroy.js:59:3)"
2020-04-20T06:23:57.110Z [ERROR] Worker died; pid=101 exitCode=1
2020-04-20T06:23:57.142Z [ERROR] Worker died; pid=100 exitCode=1
2020-04-20T06:24:00.709Z [ERROR] Uncaught exception; pid=199 exceptionName="MongoNetworkError" exceptionMessage="failed to connect to server [mongo:27017] on first connect [MongoNetworkError: getaddrinfo ENOTFOUND mongo mongo:27017]" exceptionStack="MongoNetworkError: failed to connect to server [mongo:27017] on first connect [MongoNetworkError: getaddrinfo ENOTFOUND mongo mongo:27017]\n    at Pool.<anonymous> (/opt/genieacs/node_modules/mongodb-core/lib/topologies/server.js:431:11)\n    at Pool.emit (events.js:198:13)\n    at connect (/opt/genieacs/node_modules/mongodb-core/lib/connection/pool.js:557:14)\n    at makeConnection (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:39:11)\n    at callback (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:261:5)\n    at Socket.err (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:286:7)\n    at Object.onceWrapper (events.js:286:20)\n    at Socket.emit (events.js:198:13)\n    at emitErrorNT (internal/streams/destroy.js:91:8)\n    at emitErrorAndCloseNT (internal/streams/destroy.js:59:3)"
2020-04-20T06:24:00.828Z [ERROR] Worker died; pid=199 exitCode=1
2020-04-20T06:24:05.207Z [ERROR] Uncaught exception; pid=248 exceptionName="MongoNetworkError" exceptionMessage="failed to connect to server [mongo:27017] on first connect [MongoNetworkError: getaddrinfo ENOTFOUND mongo mongo:27017]" exceptionStack="MongoNetworkError: failed to connect to server [mongo:27017] on first connect [MongoNetworkError: getaddrinfo ENOTFOUND mongo mongo:27017]\n    at Pool.<anonymous> (/opt/genieacs/node_modules/mongodb-core/lib/topologies/server.js:431:11)\n    at Pool.emit (events.js:198:13)\n    at connect (/opt/genieacs/node_modules/mongodb-core/lib/connection/pool.js:557:14)\n    at makeConnection (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:39:11)\n    at callback (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:261:5)\n    at Socket.err (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:286:7)\n    at Object.onceWrapper (events.js:286:20)\n    at Socket.emit (events.js:198:13)\n    at emitErrorNT (internal/streams/destroy.js:91:8)\n    at emitErrorAndCloseNT (internal/streams/destroy.js:59:3)"
2020-04-20T06:24:05.224Z [ERROR] Worker died; pid=248 exitCode=1
2020-04-20T06:24:06.134Z [ERROR] Uncaught exception; pid=270 exceptionName="MongoNetworkError" exceptionMessage="failed to connect to server [mongo:27017] on first connect [MongoNetworkError: getaddrinfo ENOTFOUND mongo mongo:27017]" exceptionStack="MongoNetworkError: failed to connect to server [mongo:27017] on first connect [MongoNetworkError: getaddrinfo ENOTFOUND mongo mongo:27017]\n    at Pool.<anonymous> (/opt/genieacs/node_modules/mongodb-core/lib/topologies/server.js:431:11)\n    at Pool.emit (events.js:198:13)\n    at connect (/opt/genieacs/node_modules/mongodb-core/lib/connection/pool.js:557:14)\n    at makeConnection (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:39:11)\n    at callback (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:261:5)\n    at Socket.err (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:286:7)\n    at Object.onceWrapper (events.js:286:20)\n    at Socket.emit (events.js:198:13)\n    at emitErrorNT (internal/streams/destroy.js:91:8)\n    at emitErrorAndCloseNT (internal/streams/destroy.js:59:3)"
2020-04-20T06:24:06.172Z [ERROR] Worker died; pid=270 exitCode=1
2020-04-20T06:24:06.604Z [ERROR] Uncaught exception; pid=355 exceptionName="MongoNetworkError" exceptionMessage="failed to connect to server [mongo:27017] on first connect [MongoNetworkError: connect ECONNREFUSED 172.19.0.2:27017]" exceptionStack="MongoNetworkError: failed to connect to server [mongo:27017] on first connect [MongoNetworkError: connect ECONNREFUSED 172.19.0.2:27017]\n    at Pool.<anonymous> (/opt/genieacs/node_modules/mongodb-core/lib/topologies/server.js:431:11)\n    at Pool.emit (events.js:198:13)\n    at connect (/opt/genieacs/node_modules/mongodb-core/lib/connection/pool.js:557:14)\n    at makeConnection (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:39:11)\n    at callback (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:261:5)\n    at Socket.err (/opt/genieacs/node_modules/mongodb-core/lib/connection/connect.js:286:7)\n    at Object.onceWrapper (events.js:286:20)\n    at Socket.emit (events.js:198:13)\n    at emitErrorNT (internal/streams/destroy.js:91:8)\n    at emitErrorAndCloseNT (internal/streams/destroy.js:59:3)"
2020-04-20T06:24:06.653Z [ERROR] Worker died; pid=355 exitCode=1
